Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
spec06-450.soplex-s2.trace.gz,bingo,0.34238,2758662,430454,272224,226791,1
spec06-450.soplex-s2.trace.gz,mlop,0.32406,2286584,560016,270416,250048,1
spec06-450.soplex-s2.trace.gz,pythia,0.36527,1960041,348056,275125,284165,1
spec06-459.GemsFDTD-s0.trace.gz,nopref,0.39024,1413063,1038896,9574,364593,1
spec06-459.GemsFDTD-s0.trace.gz,spp,0.59303,1294052,332891,11784,122221,1
spec06-459.GemsFDTD-s0.trace.gz,bingo,0.58556,1524406,397338,11493,392277,1
spec06-459.GemsFDTD-s0.trace.gz,mlop,0.63021,1321452,292288,10540,133030,1
spec06-459.GemsFDTD-s0.trace.gz,pythia,0.58897,1694601,295845,13082,402991,1
spec06-459.GemsFDTD-s1.trace.gz,nopref,0.30614,2610751,1910268,0,700483,1
spec06-459.GemsFDTD-s1.trace.gz,spp,0.66625,2071308,150223,0,1496,1
spec06-459.GemsFDTD-s1.trace.gz,bingo,0.70103,2759219,138744,0,701203,1
spec06-459.GemsFDTD-s1.trace.gz,mlop,0.73554,2088915,53653,0,32627,1
spec06-459.GemsFDTD-s1.trace.gz,pythia,0.67987,2780410,40254,0,710489,1
spec06-459.GemsFDTD-s2.trace.gz,nopref,0.38762,820573,820476,0,97,1
spec06-459.GemsFDTD-s2.trace.gz,spp,0.42593,1116831,624849,0,360,1
spec06-459.GemsFDTD-s2.trace.gz,bingo,0.41337,898920,696298,0,603,1
spec06-459.GemsFDTD-s2.trace.gz,mlop,0.45932,1280778,446083,0,1577,1
spec06-459.GemsFDTD-s2.trace.gz,pythia,0.444,1052894,548875,0,89,1
spec06-462.libquantum-s0.trace.gz,nopref,0.25603,1993746,1516980,8,476758,1
spec06-462.libquantum-s0.trace.gz,spp,0.48667,1547852,98667,11,99,1
spec06-462.libquantum-s0.trace.gz,bingo,0.5178,2005512,72835,8,488484,1
spec06-462.libquantum-s0.trace.gz,mlop,0.51899,2007852,32931,8,490603,1
